code	string
868	 sw
869	wi
870	if
871	ft
872	t, 
873	 the
874	e j
875	ja
876	agu
877	uar
878	r,
879	, the
880	e G
881	Gui
882	ian
883	nan
884	n c
885	coc
886	ck-
887	-o
888	of-
889	-t
890	the-
891	-r
892	roc
893	ck,
894	, the 
895	 wh
896	hit
897	te-
898	-l
899	lip
900	pped
901	d p
902	pecc
903	car
904	ry
905	y a
906	and t
907	the g
908	gol
909	lde
910	en 
911	 ro
912	ock
913	ket
914	t fr
915	rog
916	g.
917	. It
918	t i
919	is a
920	als
921	so 
922	 ho
923	ome
924	e to
925	o m
926	man
927	ny 
928	 spec
929	cies 
930	 tha
931	at a
932	are 
933	 en
934	ndem
935	mic
936	c t
937	to t
938	the G
939	Guia
940	ana 
941	 Sh
942	hie
943	eld
944	d an
945	nd G
946	Guy
947	yan
948	na 
949	 speci
950	ifi
951	ic
952	cal
953	ll
954	ly.
955	. Th
956	he t
957	team
958	m b
959	beh
960	hin
961	nd t
962	the re
963	ese
964	earc
965	ch c
966	com
967	mp
968	pr
969	ris
970	sed
971	d s
972	scie
973	enti
974	ist
975	ts, 
976	 fie
977	eld 
978	 su
979	up
980	ppo
981	ort
982	t as
983	ssi
984	ista
985	ants
986	s an
987	nd e
988	exp
989	per
990	rt
991	ts 
992	 fr
993	rom
994	m B
995	Br
996	raz
997	zi
998	il,
999	, C
1000	Ca
1001	anad
1002	da,
1003	, the U
1004	US
1005	S 
1006	 an
1007	nd,
1008	, o
1009	of c
1010	cou
1011	urs
1012	se,
1013	, G
1014	Guya
1015	ana.
1016	.In
1017	n th
1018	his
1019	s su
1020	urve
1021	ey,
1022	, f
1023	for 
1024	 ex
1025	xa
1026	amp
1027	ple
1028	e,
1029	, the l
1030	lea
1031	ad 
1032	 of t
1033	the w
1034	wat
1035	ter-
1036	-q
1037	qua
1038	ali
1039	ity
1040	y te
1041	eam 
1042	 and
1043	d o
1044	one
1045	e of
1046	f th
1047	he s
1048	sen
1049	nio
1050	or 
1051	 me
1052	em
1053	mb
1054	ber
1055	rs o
1056	of t
1057	the f
1058	fis
1059	sh 
1060	 tea
1061	am 
1062	 wer
1063	re 
1064	 Guy
1065	yane
1066	ese 
1067	 whi
1068	ile
1069	e the 
1070	 co
1071	omm
1072	mu
1073	uni
1074	ity 
1075	 fiel
1076	ld a
1077	ass
1078	sist
1079	tan
1080	nts
1081	s i
1082	incl
1083	lude
1084	ed r
1085	resi
1086	ide
1087	ents
1088	s of
1089	f C
1090	Ch
1091	hen
1092	nap
1093	pa
1094	au,
1095	, an
1096	n i
1097	ind
1098	dig
1099	ge
1100	eno
1101	ous
1102	s v
1103	vi
1104	ill
1105	lag
1106	ge 
1107	 lo
1108	oca
1109	ated
1110	d ne
1111	ear 
1112	 to 
1113	 the 
1114	 re
1115	esea
1116	arc
1117	ch s
1118	site
1119	e, 
1120	 as w
